epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,34.5458,1.58739,4.00819,1.10964,0.0028,0.50451,0.1678,0.04896,1.46897,4.23086,0.92973,0.00026361,0.00026361,0.00026361
2,67.0418,1.54554,2.22987,1.06346,0.98891,0.11967,0.48964,0.27009,1.47166,3.08863,0.955,0.000531001,0.000531001,0.000531001
3,99.197,1.49348,1.86898,1.07827,0.66783,0.27856,0.68055,0.40782,1.34071,2.44708,0.97608,0.000792992,0.000792992,0.000792992
4,131.772,1.45065,1.76349,1.07747,0.71623,0.77867,0.83221,0.48294,1.44218,1.68664,0.99546,0.000882003,0.000882003,0.000882003
5,163.618,1.40106,1.50189,1.05977,0.74229,0.80776,0.88704,0.49716,1.35271,1.55762,0.97409,0.000873004,0.000873004,0.000873004
6,195.67,1.31105,1.37859,1.0074,0.6773,0.78494,0.8647,0.47595,1.55202,1.55138,1.02182,0.000864004,0.000864004,0.000864004
7,227.568,1.31162,1.30864,1.02464,0.82135,0.90222,0.91927,0.52489,1.45318,1.33636,1.00385,0.000855005,0.000855005,0.000855005
8,259.646,1.28906,1.20066,1.01878,0.90699,0.94681,0.98851,0.59318,1.43198,1.20481,1.02069,0.000846006,0.000846006,0.000846006
9,291.509,1.28536,1.1742,1.01391,0.85731,0.96086,0.98012,0.55427,1.35603,1.09396,0.98508,0.000837007,0.000837007,0.000837007
10,323.305,1.19014,1.03722,0.9904,0.9181,0.98464,0.99464,0.5787,1.39174,0.92269,0.9975,0.000828008,0.000828008,0.000828008
11,355.124,1.23147,0.99074,1.00695,0.97455,0.97679,0.98939,0.59807,1.3724,1.09624,1.01728,0.000819009,0.000819009,0.000819009
12,387.079,1.18082,0.94739,0.99232,0.92337,0.98571,0.98981,0.59034,1.33593,0.91906,1.01485,0.00081001,0.00081001,0.00081001
13,419.767,1.22777,0.92117,1.0094,0.95753,0.97265,0.99133,0.61839,1.29395,0.8589,1.02244,0.000801011,0.000801011,0.000801011
14,451.859,1.15087,0.87208,0.981,0.98616,0.96649,0.98738,0.60519,1.34657,0.80267,1.02556,0.000792012,0.000792012,0.000792012
15,483.811,1.13152,0.89273,0.98322,0.96833,0.98267,0.99432,0.62732,1.2077,0.79026,0.98057,0.000783013,0.000783013,0.000783013
